IYK,Inyokem,CA
JAC,Jackson Hole,WY
JAN,Jackson,MS
JAX,Jacksonville,FL
JFK,New York,NY
JHM,"Kapalua, Maui",HI
JHW,Jamestown ,NY
JLN,Joplin,MO
JMS,Jamestwon,ND
JNU,Juneau,AK
JPR,,
JST,Johnstown,PA
KTM,,
LAB,,
LAN,Lansing,MI
LAR,Laramie,WY
LAS,Las Vegas,NV
LAW,Lawton,OK
LAX,Los Angeles ,CA
LBB,Lubock,TX
LBE,Latrobe,PA
LBF,North Platte,NE
LBL,Liberal,KS
LCH,Lake Charles,LA
LEW,Lewiston,ME
LEX,Lexington,KY
LFT,Lafayette,LA
LGA,New York,NY
LGB,Long Beach,CA
LIH,"Lihue, Kauai",HI
LIT,Little Rock,AR
LMT,Klamath Falls,OR
LNK,Lincoln,NE
LNS,Lancaster,PA
LNY,"Lanai City, Lanai",HI
LRD,Laredo,TX
LRU,Las Cruces,NM
LSE,La Crosse,WI
LUP,Kalaupapa Molokai,HI
LWB,Greenbrier ,WV
LWS,Lewiston,ME
LWT,Lewistown ,MT
LYH,Lynchburg,VA
MAF,Miland,TX
MBL,Manistee ,MI
MBS,Saginaw,MBS
MCI,Kansas City,MO
MCK,McCook,NE
MCN,Macon,GA
MCO,Orlando,FL
MCW,Mason City,IA
MDT,Harrisburg,PA
MDW,Chicago ,IL
MEI,Meridian,MS
MEM,Memphis,TN
MFE,McAllen ,TX
MFR,Medford ,OR
MGM,Montgomery,AL
MGW,Morgantown ,WV
MHK,Manhattan,KS
MHT,Manchester,NH
MIA,Miami,FL
MKE,Milwaukee,WI
MKG,Muskegon ,MI
MKK,Hoolehua Molokai,HI
MKL,Jackson,TN
MLB,Melbourne,FL
MLI,Moline,IL
MLS,Miles City,MT
MLU,Monroe,LA
MOB,Mobile,AL
MOD,Modesto,CA
MOT,Minot,ND
MQT,Marquette,MI
MRY,Monterey,CA
MRY,Monterey,CA
MSL,Muscle Shoals,AL
MSN,Madison,WI
MSO,Missoula ,MT
MSP,Minneapolis,MN
MSS,Massena,NY
MSY,New Orleans,LA
MTJ,Montrose,CO
MVY,Martha's Vineyard,MA
MWA,Marion,IL
MWH,Moses Lake,WA
NYC,New York,NY
OAJ,Jacksonville,NC
OAK,Oakland,CA
OGG,"Khului, Maui",HI
OGS,Ogdensburg,NY
OKC,Oklahoma City,OK
OLF,Wolf Point,MT
OLU,Columbus,NE
OMA,Omaha,NE
OME,Nome,AK
ONT,Ontario,CA
OOK,Toksook Bay,AK
ORD,Chicago ,IL
ORF,Norfolk,VA
OSH,Oshkosh,WI
OTH,North Bend,OR
OWB,Owensboro,KY
OXR,Oxnard,CA
PAH,Paducah,KY
PBI,West Palm Beach,FL
PDT,Pendleton,OR
PDX,Portland,OR
PFN,Panama City,FL
PGA,Page,AZ
PGV,Greenville,NC
PHF,Newport News,VA
PHL,Philadelphia,PA
PHX,Phoenix,AZ
PIA,Peoria,IL
PIB,Laurel,MS
PIE,St. Petersburg,FL
PIH,Pocatello,ID
PIR,Pierre,SD
PIT,Pittsburgh ,PA
PKB,Parkersburg,WV
PLN,Pellston,MI
PNC,Poncva City,OK
PNS,Pensacola,FL
PQI,Presque Isle,ME
PRC,Prescott,AZ
PSC,Pasco,WA
PSM,Portsmouth,NH
PSP,Pal Springs,CA
PUB,Pueblo ,CO
PUW,Pullman,WA
PVC,Provincetown ,MA
PVD,Providence ,RI
PWM,Portland,ME
QLA,Los Angeles,CA
QSF,San Francisco,CA
RAP,Rapid City,SD
RDD,Redding,CA
RDM,Redmond ,CA
RDU,Raleigh,NC
RFD,Rockford,IL
RHI,Rhinelander,WI
RIC,Richmond,VA
RIW,Riverton,WY
RKD,Rockland,ME
RKS,Rock Springs,WY
RNO,Reno,NV
ROA,Roanoke,VA
ROC,Rochester,NY
ROW,Roswell,NM
RST,Rochester,MN
RSW,Fort Myers,FL
RUT,Rutland,VT
SAF,Santa Fe,NM
SAN,San Diego ,CA
SAT,San Antonio ,TX
SAV,Savannah ,GA
SBA,Santa Barbara,CA
SBN,South Bend,IN
SBP,San Luis Obispo,CA
SBS,Steamboat Springs,CO
SCE,State College,PA
SDF,Louisville,KY
SDP,Sand Point,AK
SDY,Sidney,MT
SEA,Seattle,WA
SFO,San Francisco,CA
SGF,Springfield,IL
SGU,St. George ,UT
SGY,Skagway,AK
SHD,Shenandoah Valley Airport,VA
SHR,Sheridan,WY
SHV,Shreveport,LA
SIT,Sitka,AK
SJC,San Jose ,CA
SJT,San Angelo ,TX
SLC,Salt Lake City,UT
SLK,Saranac Lake,NY
SLN,Salina,KS
SMF,Sacramento,CA
SMX,Santa Maria,CA
SNA,Orange County,CA
SOP,Pinehurst,NC
SPI,Springfield,IL
SPS,Wichita Falls,TX
SPY,,
SRQ,Sarasota,FL
SRY,,
STC,St. Cloud,MN
STL,St. Louis,MO
STS,Santa Rosa,CA
SUN,Sun Valley,ID
SUX,Sioux City,IA
SVC,Silver City,NM
SWF,Newburgh,NY
TAX,,
TBN,Fort Leonard Wood,MO
TLH,Tallahassee,FL
TOL,Toledo,OH
TOP,Topeka,KS
TPA,Tampa,FL
TTN,Trenton,NJ
TUL,Tulsa,OK
TUP,Tupelo,MS
TUS,Tucson,AZ
TVC,Traverse City,MI
TVF,Thief River Falls,MN
TWF,Twin Falls,ID
TXK,Texarkana,AR
TYR,Tyler,TX
TYS,Knoxville,TN
UIN,Quincy,IL
UNK,Unalakleet,AK
VCT,Victoria,TX
VDZ,Valdez,AK
VIS,Visalia,CA
VLD,Valdosta,GA
VPS,Fort Walton Beach,FL
VSF,Springfield,VT
WAS,Washington ,DC
WDG,Enid,OK
WRG,Wrangell,AK
WRL,Worland,WY
WYS,West Yellowstone,MT
XNA,Fayetteville,AR
YAA,Anahim Lake,BC
YAK,Yakutat,AK
YAM,Sault Ste. Marie,ON
YBG,Bagotville,PQ
YBL,Campbell River,BC
YCD,Nanaimo,BC
YCG,Castlegar,BC
YDF,Deer Lake,NF
YEG,-,-
YEK,-,-
YEO,-,-
YFB,,
YFC,,
YGK,,
YGP,,
YGR,,
YHD,,
YHM,,
YHZ,,
YKA,,
YKM,,
YLW,,
YMM,,
YMQ,,
YMT,,
YOW,,
YPR,,
YPW,,
YQB,,
YQG,,
YQK,,
YQL,,
YQM,,
YQR,,
YQT,,
YQU,,
YQX,,
YQY,,
YQZ,,
YRJ,,
YRL,,
YRT,,
YSB,,
YSJ,,
YSM,,
YTH,,
YTO,,
YTS,,
YTZ,,
YUL,,
YUM,,
YUY,,
YVO,,
YVR,,
YWG,,
YWK,,
YWL,,
YXC,,
YXE,,
YXH,,
YXJ,,
YXL,,
YXT,,
YXU,,
YXX,,
YXY,,
YYB,,
YYC,,
YYD,,
YYE,,
YYF,,
YYG,,
YYJ,,
YYQ,,
YYT,,
YYY,,
YYZ,,
YZF,,
YZP,,
YZR,,
YZT,,
YZV,,
